entry_id,theme_id,theme,category,type,subsection,lemma,primary_sense,query,query_status
2545,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,άγκυρα,anchor,anchor photo,generated
2546,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,άδεια,permission,permission photo,generated
2547,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,άδειαπαραμονής,,,no_english
2548,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αεροδρόμιο,airport,airport photo,generated
2549,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αεροπειρατεία,highjacking,highjacking photo,generated
2550,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αεροπλάνο,(more colloquial) Alternative form of αεροπλάνο (aeropláno),,needs_review
2551,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αεροπορικήεταιρεία,,,no_english
2552,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αερόστατο,gas-filled balloon,gas-filled balloon photo,generated
2553,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αεροσυνοδός,flight attendant,flight attendant photo,generated
2554,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αίθουσα,room,room photo,generated
2555,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αίθουσααναμονής,,,no_english
2556,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,ακύρωση,annulment,annulment photo,generated
2557,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αναβολή,postponement,postponement photo,generated
2558,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αναγγελία,notice,notice photo,generated
2559,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αναμονή,wait,wait photo,generated
2560,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,ανανέωση,renewal,renewal photo,generated
2561,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αναχώρηση,departure,departure photo,generated
2562,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αντίσκηνο,small tent,small tent photo,generated
2563,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αξιοθέατο,Nominative,Nominative photo,generated
2564,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αποβάθρα,quay,quay photo,generated
2565,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,απογείωση,takeoff,takeoff photo,generated
2566,10,Μεταφορικά μέσα - Ταξίδια,Ουσιαστικά,noun,,αποσκευές,Nominative,Nominative photo,generated
